BALANCE,BALANCE_FREQUENCY,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT
5101.92,0.96,410.37,314.21,5115.73,0.33,0.15,0.23,0.43,13.37,11.55,7896.81,3918.83,2060.08,0.03
1468.49,0.91,878.95,551.89,564.06,0.59,0.32,0.42,0.1,2.08,20.77,6507.88,1862.04,575.17,0.21
5013.91,0.87,7378.72,2800.22,7795.37,0.64,0.48,0.52,0.29,12.34,64.77,13246.67,21643.89,2544.25,0.32
4149.36,0.94,2002.16,1059.76,899.67,0.7,0.47,0.5,0.12,2.37,38.56,13297.01,3498.54,1307.7,0.19
4438.24,0.99,172.97,1021.76,1024.25,0.51,0.05,0.48,0.09,2.97,23.03,4652.7,1534.81,27711.27,0.0
817.83,0.88,251.04,265.98,484.83,0.45,0.13,0.35,0.11,2.36,9.65,2110.86,918.41,549.02,0.15
